iter	RMSE
0	1.582388684
1	1.498257925
2	1.418058886
3	1.35163301
4	1.296992508
5	1.247666183
6	1.201977239
7	1.167108441
8	1.138185986
9	1.113422049
10	1.090812493
11	1.068911017
12	1.052217345
13	1.028511664
14	1.017781483
15	1.003406162
16	0.9939390898
17	0.9838489858
18	0.9767383178
19	0.9713553193
20	0.9664097354
21	0.9560185108
22	0.9514100744
23	0.9472899251
24	0.9438179186
25	0.9399487435
26	0.9365875478
27	0.9324963818
28	0.9299707895
29	0.925636395
30	0.9237782323
31	0.9212919566
32	0.918876367
33	0.9163630552
34	0.9139812882
35	0.9110472877
36	0.9100124352
37	0.9076887885
38	0.9054564139
39	0.9039479087
40	0.9028113384
41	0.9012738602
42	0.8997339136
43	0.899113149
44	0.8975576535
45	0.8966075101
46	0.8959390897
47	0.8944996225
48	0.8925705787
49	0.8919120363
50	0.8910282754
51	0.8898959132
52	0.8894654512
53	0.888537094
54	0.8872932125
55	0.8816119185
56	0.8810159895
57	0.878407451
58	0.8740172919
59	0.8730357027
60	0.8714877189
61	0.8697121292
62	0.8693011302
63	0.8689199986
64	0.8671070015
65	0.866173612
66	0.8654045049
67	0.8651176386
68	0.8642985227
69	0.8639364528
70	0.8617011287
71	0.8608931959
72	0.8593728627
73	0.8586254771
74	0.8575048186
75	0.8570822752
76	0.8567985636
77	0.8558037581
78	0.8548198167
79	0.8537008277
80	0.8520295197
81	0.8493230508
82	0.8477846444
83	0.8469446
84	0.8448970899
85	0.843730541
86	0.8432034302
87	0.841923287
88	0.8415070766
89	0.839727534
90	0.8377245433
91	0.8363244219
92	0.8349635097
93	0.8338339602
94	0.8333038353
95	0.8320579142
96	0.8305915449
97	0.8278377319
98	0.8273490808
99	0.8267920041
100	0.824359038
101	0.8238522732
102	0.8220332035
103	0.8213524825
104	0.8172025473
105	0.8147935715
106	0.8132397996
107	0.8128336051
108	0.8123239697
109	0.8109592842
110	0.8092022471
111	0.8080507663
112	0.8067534811
113	0.8063578576
114	0.8055750665
115	0.8040903441
116	0.8035543156
117	0.8029439726
118	0.8007575317
119	0.7992429673
120	0.7950058831
121	0.7939608207
122	0.7927922056
123	0.7924437034
124	0.7880045713
125	0.7875256131
126	0.78659095
127	0.7860348745
128	0.7838961059
129	0.7835766086
130	0.7827147776
131	0.781882067
132	0.7806958972
133	0.7798285751
134	0.7783116128
135	0.7763446224
136	0.774525427
137	0.7737597211
138	0.7727691221
139	0.7709038168
140	0.7699285062
141	0.7694522434
142	0.7687680118
143	0.7676791177
144	0.7673498733
145	0.7670407555
146	0.7663168021
147	0.7660219145
148	0.7641474038
149	0.7632136875
150	0.7616623044
151	0.7610745931
152	0.7607771503
153	0.760327149
154	0.7597110267
155	0.7588925762
156	0.7583026642
157	0.7576483191
158	0.756893228
159	0.756257013
160	0.7544223117
