iter	Passed	Remaining
0	51	51387
1	105	52432
2	161	53646
3	214	53490
4	268	53393
5	324	53774
6	384	54595
7	441	54751
8	499	55005
9	555	55032
10	607	54651
11	665	54832
12	724	55026
13	779	54895
14	830	54527
15	884	54395
16	941	54420
17	992	54141
18	1047	54083
19	1101	53984
20	1153	53762
21	1206	53646
22	1258	53449
23	1310	53301
24	1363	53193
25	1418	53131
26	1469	52943
27	1521	52808
28	1574	52732
29	1626	52575
30	1682	52576
31	1739	52620
32	1797	52668
33	1852	52633
34	1907	52605
35	1965	52636
36	2021	52616
37	2085	52806
38	2149	52969
39	2206	52952
40	2270	53110
41	2328	53111
42	2384	53073
43	2443	53081
44	2501	53086
45	2559	53087
46	2619	53116
47	2679	53141
48	2736	53113
49	2795	53112
50	2862	53267
51	2921	53264
52	2981	53264
53	3037	53206
54	3094	53172
55	3150	53110
56	3208	53088
57	3265	53038
58	3325	53046
59	3382	52995
60	3438	52930
61	3491	52827
62	3509	52196
63	3566	52165
64	3626	52159
65	3684	52141
66	3745	52160
67	3800	52091
68	3857	52053
69	3916	52034
70	3978	52051
71	4037	52034
72	4094	51991
73	4154	51990
74	4212	51952
75	4268	51894
76	4326	51857
77	4386	51849
78	4444	51811
79	4503	51793
80	4562	51766
81	4617	51697
82	4672	51626
83	4730	51588
84	4785	51512
85	4841	51458
86	4897	51394
87	4956	51372
88	5014	51329
89	5073	51302
90	5142	51366
91	5199	51315
92	5258	51281
93	5313	51208
94	5372	51181
95	5430	51139
96	5488	51097
97	5546	51052
98	5601	50976
99	5664	50984
100	5725	50960
101	5783	50914
102	5842	50881
103	5902	50850
104	5959	50798
105	6018	50763
106	6079	50737
107	6143	50741
108	6201	50690
109	6260	50652
110	6316	50592
111	6375	50544
112	6432	50495
113	6494	50472
114	6552	50427
115	6614	50404
116	6672	50355
117	6731	50312
118	6790	50273
119	6847	50216
120	6902	50144
121	6961	50096
122	7017	50037
123	7073	49967
124	7132	49927
125	7192	49891
126	7248	49826
127	7306	49778
128	7364	49724
129	7421	49668
130	7482	49634
131	7539	49576
132	7601	49552
133	7658	49494
134	7717	49446
135	7784	49453
136	7839	49385
137	7898	49334
138	7954	49273
139	8012	49220
140	8073	49184
141	8134	49148
142	8193	49105
143	8256	49080
144	8319	49058
145	8380	49023
146	8439	48972
147	8497	48915
148	8557	48876
149	8618	48835
150	8675	48777
151	8733	48723
152	8794	48687
153	8854	48641
154	8911	48584
155	8969	48529
156	9028	48478
157	9085	48415
158	9141	48354
159	9197	48288
160	9252	48216
161	9311	48167
162	9368	48104
163	9425	48044
164	9483	47991
165	9541	47935
166	9601	47892
167	9658	47834
168	9715	47774
169	9774	47724
170	9832	47668
171	9890	47613
172	9945	47544
173	10001	47478
174	10060	47428
175	10115	47361
176	10172	47300
177	10228	47235
178	10287	47183
179	10343	47122
180	10402	47069
181	10461	47017
182	10518	46959
183	10576	46906
184	10633	46846
185	10692	46793
186	10750	46737
187	10807	46679
188	10862	46612
189	10923	46570
190	10983	46521
191	11041	46466
192	11099	46409
193	11155	46347
194	11213	46293
195	11270	46230
196	11327	46173
197	11384	46112
198	11442	46056
199	11499	45997
200	11556	45938
201	11617	45896
202	11679	45854
203	11741	45813
204	11799	45759
205	11859	45712
206	11920	45666
207	11976	45602
208	12032	45537
209	12091	45486
210	12145	45416
211	12202	45355
212	12259	45297
213	12316	45235
214	12375	45186
215	12433	45129
216	12491	45073
217	12547	45011
218	12608	44963
219	12667	44912
220	12726	44859
221	12784	44802
222	12843	44749
223	12903	44701
224	12960	44640
225	13019	44588
226	13076	44528
227	13133	44470
228	13191	44413
229	13248	44355
230	13308	44303
231	13365	44244
232	13420	44179
233	13479	44124
234	13538	44072
235	13593	44005
236	13649	43943
237	13706	43882
238	13768	43839
239	13827	43785
240	13881	43719
241	13944	43676
242	14003	43622
243	14066	43583
244	14124	43526
245	14180	43464
246	14239	43411
247	14296	43351
248	14358	43306
249	14414	43243
250	14470	43182
251	14531	43133
252	14590	43080
253	14645	43013
254	14704	42958
255	14763	42905
256	14821	42849
257	14884	42806
258	14940	42744
259	14994	42675
260	15052	42619
261	15112	42567
262	15175	42526
263	15234	42473
264	15295	42422
265	15351	42360
266	15408	42302
267	15469	42253
268	15527	42194
269	15584	42135
270	15642	42078
271	15699	42018
272	15756	41958
273	15816	41908
274	15878	41862
275	15939	41811
276	15996	41752
277	16058	41705
278	16117	41650
279	16176	41595
280	16232	41534
281	16288	41471
282	16345	41412
283	16403	41355
284	16459	41293
285	16528	41263
286	16589	41214
287	16647	41157
288	16705	41099
289	16762	41039
290	16818	40976
291	16882	40933
292	16941	40880
293	17002	40829
294	17060	40772
295	17117	40711
296	17175	40654
297	17232	40595
298	17290	40537
299	17348	40479
300	17406	40422
