Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description
2,1438,2024-10-21T13:32:56.000Z,128,11,1,0,[],1 人、毛髮、蠟燭和文字的圖像.
0,927000,2024-10-26T03:58:08.000Z,,126,0,1,"['#love', '#couple', '#loveislove', '#loveforever', '#thoughtoftheday', '#thoughts', '#motivationalquotes', '#explore']",
0,214000,2024-09-16T16:09:58.000Z,63000,473,0,1,[],
1,301000,2024-11-10T05:58:06.000Z,13000,239,1,0,[],1 人、金髮、美妝和洋裝的圖像.
2,192000,2024-11-09T17:32:13.000Z,1394,10,0,1,[],
0,93000,2024-10-29T01:14:32.000Z,143,192,0,1,"['#truelove', '#love', '#lovequotes', '#couplegoals', '#relationshipgoals', '#instagram', '#quotes', '#life', '#loveislove', '#instagood', '#follow', '#couple', '#loveyou', '#like', '#Lovestory', '#feelings', '#lovers', '#cute', '#couples', '#loveyourself', '#happy', '#relationship', '#trending', '#family', '#poetry', '#true']",
0,75000,2024-11-03T17:22:51.000Z,45000,101,0,1,"['#instagram', '#instadaily', '#instagood', '#misbehave', '#viral']",
1,1260,2024-11-06T11:23:41.000Z,53,7,0,1,"['#Pepero Day', '#Pepero Day Gift', '#Pepero', '#Handmade Pepero', '#Pepero', '#Whale bakery', '#Pohang restaurant', '#Pohang Heung Sea', '#bakery', '#Pohang is worth seeing', '#Bakery', '#Bakery', '#Hunger', '#Breadstargram', '#Hunghae restaurant', '#Pohang', '#bakery', '#Instant bread', '#Pohang restaurant', '#Pohang restaurant recommended', '#Recommended bread shop', '#Jackpot']",
2,12000,2024-10-29T10:02:51.000Z,878,2,1,0,[],1 人、長髮和文字的自拍照.
0,454000,2024-09-28T08:01:40.000Z,151000,669,0,1,"['#trending', '#reelfel', '#viral', '#love', '#Aashiqi 2', '#instagood', '#instagram', '#sadsongs']",
1,675000,2024-11-10T08:31:48.000Z,1937,36,0,1,[],
2,639000,2024-11-05T16:35:40.000Z,23000,613,1,0,[],1 人、帽子、香菸和夜晚的圖像.
3,51000,2024-11-10T13:42:30.000Z,1279,12,1,0,[],1 人和文字的圖像.
0,313000,2024-09-24T11:40:06.000Z,22000,76,0,1,"['#Kerala', '#kollam', '#keralaboattrips', '#keralatemple', '#thrissur', '#keralavibes', '#travelers', '#chennai', '#keralalove', '#rc390', '#ridergirl', '#couplegoals', '#tamilsonglyrics', '#marriagegoals', '#lovequotes', '#mine', '#forever', '#keralacolleges', '#collegegirls', '#crime party', '#explorepage', '#explore', '#longdistancerelationship', '#couple', '#couplegoals']",
1,1565000,2024-11-05T03:31:23.000Z,46000,490,1,0,[],1 人和文字的迷因.
2,14000,2024-11-04T12:56:21.000Z,14000,74,1,0,"['#sea \u200b\u200btrout', '#laceclosure', '#sewinskills', '#closuresewin', '#hairstyles', '#wigs', '#lacewig', '#lacefrontwigs', '#wigsforblackwomen', '#wigtutorial', '#blackhairstyles', '#wigslayer', '#lacewigs', '#meltdown', '#meltedhairline', '#wiginstall', '#wiginstallation', '#wiglife', '#wigstyling', '#straightwig', '#curly', '#Bobwigs', '#silkpressqueen', '#blackgirlmagic', '#laceclosurewig', '#wigunits']",2 個人、毛髮和文字的迷因.
0,1063000,2024-11-07T14:16:44.000Z,21000,187,0,1,"['#reels', '#wearing', '#styling', '#fashion', '#fashionista', '#transition', '#reelsinstagram', '#bodycon', '#fyp', '#Foreopge', '#explorepage', '#explore', '#trending', '#trendingaudio', '#trendingaudio']",
0,420000,2024-10-18T05:58:27.000Z,39000,38,0,1,[],
