Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description
0,2232000,2024-09-13T09:27:36.000Z,444000,126,0,1,[],
1,50000,2024-10-28T10:04:59.000Z,17000,107,1,0,[],舞台服裝和文字的圖像.
2,14000,2024-10-21T11:09:49.000Z,10,0,1,0,"['#livetws', '#演唱會資訊', '#跨年演唱會', '#搶票資訊', '#搶票懶人包', '#演唱會', '#卡司', '#2024演唱會', '#音樂會', '#音樂祭', '#音樂節', '#活動資訊', '#臺南活動', '#臺南演唱會', '#臺南美食', '#南紡購物中心', '#星空音樂節']",3 個人、海報、音樂會和文字的圖像.
3,14000,2024-09-27T09:05:32.000Z,13000,163,0,1,[],
4,343000,2024-11-16T05:19:38.000Z,7124,65,0,1,[],
5,1738000,2024-10-04T00:33:20.000Z,1000000,1072,0,1,[],
6,12000,2024-10-11T02:30:00.000Z,8781,13,0,1,"['#修眉', '#修眉毛', '#修眉達人', '#修眉教學', '#修眉的重要性', '#修眉技巧', '#眉毛整理']",
7,174000,2024-10-11T03:30:00.000Z,28000,248,0,1,[],
8,14000,2024-10-24T07:06:12.000Z,2,89,0,1,"['#狗', '#小狗', '#犬', '#狗狗', '#狗狗日常', '#汪星人', '#汪星人日常', '#汪', '#迷因', '#梗圖', '#迷因梗', '#迷因梗圖', '#memes']",
9,199,2024-11-15T18:51:07.000Z,28,0,0,1,"['#pleinelune', '#pierreslunaires', '#moonlightlovers', '#moonlight']",
10,91000,2024-10-28T04:30:37.000Z,60000,267,0,1,"['#coimbatorevagayara', '#coimbatorememes', '#coimbatorefoodie', '#coimbatorenews', '#coimbatore', '#cbe', '#tirupur', '#tirupurfoodies', '#tup', '#foodie', '#rspuram', '#gandhipuram', '#navaindia', '#saravanampatti', '#srcas', '#sriramakrishnacollege', '#prozonemall', '#chennai', '#friendshipgoals', '#crush', '#psgcas', '#ngpcollege', '#hicas', '#krishnammalcollege', '#psg', '#kprcas', '#grdcs', '#biryani', '#kpriet']",
11,28000,2024-11-15T09:39:37.000Z,10000,41,0,1,[],
12,264000,2024-10-14T15:13:35.000Z,66000,175,0,1,[],
13,33000,2024-10-15T11:00:30.000Z,10000,62,0,1,"['#全家', '#新品', '#買在最低點', '#可可', '#麻糬', '#甜點', '#mochi', '#新北美食', '#台南美食', '#新竹美食', '#台中美食', '#花蓮美食', '#基隆美食', '#嘉義美食', '#桃園美食', '#台北美食', '#苗栗美食', '#雲林美食', '#彰化美食', '#宜蘭美食', '#高雄美食', '#屏東美食', '#超商美食', '#超商', '#超商新品', '#新品上市']",
14,253000,2024-11-14T15:08:14.000Z,13000,12,1,0,"['#破地獄', '#特技化妝師', '#阿佛', '#WilfredWan', '#熙雯', '#金燕玲', '#韋羅莎', '#梁雍婷', '#焚城', '#爸爸', '#陳珮欣', '#Katrina', '#戀講嘢', '#Do姐', '#JacksonWang', '#王嘉爾', '#娛壹']",5 個人和文字的圖像.
15,2232000,2024-10-26T04:47:51.000Z,120000,277,0,1,[],
16,34000,2024-11-14T10:06:14.000Z,5464,3,1,0,"['#APT', '#MAMA', '#MAMAAWARDS', '#BrunoMars', '#Rosé', '#Blackpink', '#GDragon', '#GD', '#權志龍', '#KPOP', '#TM熱話', '#TM人物', '#TasteMarker']",1 人、雜誌、海報和文字的圖像.
17,7080,2024-09-15T11:20:05.000Z,80000,162,0,1,[],
18,192000,2024-11-13T12:00:16.000Z,1806,25,1,0,[],文字的圖像.
19,343000,2024-10-27T06:51:14.000Z,54000,234,0,1,[],
20,12190000,2024-10-28T14:23:45.000Z,147000,272,0,1,[],
21,31000,2024-09-28T07:06:14.000Z,25000,311,0,1,"['#tim吃美食', '#跟著tim走遍全台灣美食景點', '#taiwanfood', '#全台美食', '#超商美食', '#優惠活動', '#小七', '#711', '#7ELEVEN', '#瞬轉好心情', '#新品', '#曼陀珠', '#糖果', '#莓果薄荷口味', '#開箱', '#黑醋栗薄荷口味']",
22,455000,2024-10-24T12:50:12.000Z,532000,452,0,1,[],
23,12190000,2024-09-28T05:34:27.000Z,514000,355,0,1,['#soniyabansal'],
24,21000,2024-11-15T11:22:23.000Z,1712,28,0,1,"['#孤單北半球', '#林依晨', '#孤單北半球']",
25,32000,2024-11-07T11:57:46.000Z,2074,30,1,0,"['#梗', '#梗圖', '#梗圖系列', '#梗图', '#梗圖分享', '#梗圖推推', '#梗圖迷因', '#梗圖大全', '#梗图系列', '#迷因', '#迷因梗圖', '#迷因療法', '#迷因療法', '#迷因系列', '#迷因靈魂', '#迷因梗', '#迷因事業', '#迷因圖', '#搞笑', '#好笑', '#爆笑', '#有趣', '#funny', '#笑死', '#認真就輸了', '#地獄梗', '#地獄梗圖']",文字的圖像.
26,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
27,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
28,932000,2024-11-04T03:38:39.000Z,,279,0,1,[],
29,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
30,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
31,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
32,6302,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
33,215000,2024-11-08T05:10:08.000Z,288000,325,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
34,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
35,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
36,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
37,7288,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
38,1402000,2024-11-10T16:58:25.000Z,18000,282,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
39,343000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
40,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
41,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
42,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
43,932000,2024-11-04T03:38:39.000Z,,534,0,1,[],
