Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description,days_diff,have_error,is_empty
0,667000,2024-10-17 07:41:22,3141000,192,0,1,"polarbear ,icecream ,aiart ,artcommunity ,cub ,cutebear ,art ,polar ,arctic ,ice-cream'",,38.0,False,False
1,13000,2024-10-23 13:45:06,203,0,0,1,"Crispy fried chicken chop ,Crispy fried shrimp ,Hualien ,Hualien City ,Hualien Food ,Hualien Simple ,Hualien lunch ,Hualien Dinner ,Eat Hualien with great heart ,Picnic picnic ,Pine garden annex ,gourmet food ,Ingredients'",,32.0,False,False
2,12000,2024-11-02 09:12:56,6817,0,1,0,"Cause ,Stalk ,Oblinter stalk ,Mag ,memes ,Sharing ,joke ,Sneer ,funny ,Funny movie ,Humorous quotation ,change ,Lu Guangzhong ,singer ,muscle ,fitness'",2 個人和顯示的文字是「 Muti 製圖/葉力琦 你要我刻在你心裡 還是墓碑上？ 」的圖像.,22.0,False,False
3,18000,2024-10-17 10:00:40,703,0,0,1,"Hualien Food ,Hualien snack ,Hualien afternoon tea ,Fuxing Street Stone Cake ,Stone cake ,Eat Hualien ,Family ,Girn ,hualienfood'",,38.0,False,False
4,338000,2024-11-10 09:02:34,32000,168,0,1,no hashtage,,14.0,False,True
5,868000,2024-11-06 14:01:17,59000,228,0,1,"Girhein ,Geoentertainment ,HarPalGeo ,Geotv ,7thSkyEntertainment ,Abdullahkadwani ,Askurashi ,Saleemghchanchi ,Imranzer ,In this case ,With ,HarisWaheed ,BeenaChaudhry'",,18.0,False,False
6,55000,2024-10-30 14:14:57,4540,0,0,1,Song Dehe ',,25.0,False,False
7,36000,2024-11-06 13:02:31,15000,0,0,1,"Grandma Chiayi ,Chiayi Food ,story ,interesting ,Taiwanese food ,Grandma fried Moho ,Grandma fried ,Grandma Jiewei ,Auspicious and fragrant Ah Po Lifi ,Chiayi scenic spot ,Chiayi Tourism ,Chiayi Tourism Recommendation ,Chiayi ,warmth ,move ,Chiayi ,Chiayi City ,Sawa 麼 '",,18.0,False,False
8,73000,2024-11-11 07:01:07,1025,0,0,1,no hashtage,,13.0,False,True
9,62000,2024-09-10 13:37:55,11,0,0,1,"explorepage ,Foreau ,reels ,instareels ,viralreels ,comedyreels ,funnyreels ,friendship ,jugiyar ,bff ,instagram ,trending ,explorepage ,instagood ,reelsvideo ,fypyes ,quoteshedyay ,beautiful ,new ,trending ,vairalvideo'",,75.0,False,False
0,1712000,2024-10-04 00:33:20,984000,1401,0,1,no hashtage,,51.0,False,True
1,102000,2024-10-14 00:18:05,4905,0,1,0,no hashtage,5 個人和圍裙的圖像.,41.0,False,True
2,13000,2024-10-23 13:45:06,203,0,0,1,"Crispy fried chicken chop ,Crispy fried shrimp ,Hualien ,Hualien City ,Hualien Food ,Hualien Simple ,Hualien lunch ,Hualien Dinner ,Eat Hualien with great heart ,Picnic picnic ,Pine garden annex ,gourmet food ,Ingredients'",,32.0,False,False
3,12000,2024-11-02 09:12:56,6887,0,1,0,"Cause ,Stalk ,Oblinter stalk ,Mag ,memes ,Sharing ,joke ,Sneer ,funny ,Funny movie ,Humorous quotation ,change ,Lu Guangzhong ,singer ,muscle ,fitness'",2 個人和顯示的文字是「 Muti 製圖/葉力琦 你要我刻在你心裡 還是墓碑上？ 」的圖像.,22.0,False,False
4,18000,2024-10-17 10:00:40,703,0,0,1,"Hualien Food ,Hualien snack ,Hualien afternoon tea ,Fuxing Street Stone Cake ,Stone cake ,Eat Hualien ,Family ,Girn ,hualienfood'",,38.0,False,False
5,25680000,2024-11-04 14:34:20,50000,163,0,1,no hashtage,,20.0,False,True
6,338000,2024-11-10 09:02:34,32000,184,0,1,no hashtage,,14.0,False,True
7,30000,2024-11-08 10:18:17,4174,0,1,0,"lowiq01 ,lowiq01andtherhythmmakersplus ,Challenge 25 ,Hibiya No Outdoor Music Hall ,Ichikawa entertainer '",2 個人、毛髮、連帽風衣、上衣和文字的圖像.,16.0,False,False
8,73000,2024-11-11 07:01:07,1026,0,0,1,no hashtage,,13.0,False,True
9,78000,2024-11-07 12:11:47,13000,0,0,1,no hashtage,,17.0,False,True
10,306000,2024-11-01 02:49:36,514000,205,0,1,"tiktok ,viral ,Shorts vs Tiktok ,youtubeshorts ,maikalyt '",,23.0,False,False
0,2245000,2024-10-18 09:47:28,1960000,0,0,1,no hashtage,,37.0,False,True
0,335000,2024-10-21 05:51:00,394000,149,0,1,"buttabomma ,Allearjun ,Pooja Hegde ,dance ,telugusongs ,Telugu '",,34.0,False,False
1,11000,2024-09-28 07:02:51,870,0,0,1,"Hualien breakfast ,Hualien Food ,Hualien Cafe ,Hualien ,Hualien breakfast ,Hualien afternoon tea '",,57.0,False,False
2,80000,2024-11-09 13:15:03,32000,355,0,1,"Meowgenz ,Contrast ,Dedicated ,handsome guy ,Japanese boy ,Face value ,Dog slave ,Dog ,Hound ,Dog system ,Boy ,Boy friend ,Male god ,Kota Miura ,cats ,mirakota ,Fighting system ,husband ,muscle ,Abdominal muscle ,handsome ,handsome ,japaneseboy ,koreanboys ,abs ,muscleboy ,mmafighter ,Burning Red '",,15.0,False,False
0,1295000,2024-10-21 05:53:16,2357000,334,0,1,"learnfromzette ,magic ,reels'",,34.0,False,False
0,304000,2024-09-25 15:23:30,162000,162,0,1,no hashtage,,60.0,False,True
