Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description,have_error,is_empty,Pic_have_error,Pic_is_empty
0,667000,2024-10-17T07:41:22.000Z,3141000,192,0,1,"polarbear ,icecream ,aiart ,artcommunity ,cub ,cutebear ,art ,polar ,arctic ,ice-cream'",No Pic Description,False,False,False,True
1,13000,2024-10-23T13:45:06.000Z,203,0,0,1,"Crispy fried chicken chop ,Crispy fried shrimp ,Hualien ,Hualien City ,Hualien Food ,Hualien Simple ,Hualien lunch ,Hualien Dinner ,Eat Hualien with great heart ,Picnic picnic ,Pine garden annex ,gourmet food ,Ingredients'",No Pic Description,False,False,False,True
2,12000,2024-11-02T09:12:56.000Z,6817,0,1,0,"Cause ,Stalk ,Oblinter stalk ,Mag ,memes ,Sharing ,joke ,Sneer ,funny ,Funny movie ,Humorous quotation ,change ,Lu Guangzhong ,singer ,muscle ,fitness'","2 people and the displayed text is ""Muti drawing/Ye Liqi, do you want me to engrave your heart or tombstone?""",False,False,False,False
3,18000,2024-10-17T10:00:40.000Z,703,0,0,1,"Hualien Food ,Hualien snack ,Hualien afternoon tea ,Fuxing Street Stone Cake ,Stone cake ,Eat Hualien ,Family ,Girn ,hualienfood'",No Pic Description,False,False,False,True
4,338000,2024-11-10T09:02:34.000Z,32000,168,0,1,no hashtage,No Pic Description,False,True,False,True
5,868000,2024-11-06T14:01:17.000Z,59000,228,0,1,"Girhein ,Geoentertainment ,HarPalGeo ,Geotv ,7thSkyEntertainment ,Abdullah Kadwani ,Askurashi ,Saleemghchanchi ,Imranzer ,In this case ,With ,HarisWaheed ,BeenaChaudhry'",No Pic Description,False,False,False,True
6,55000,2024-10-30T14:14:57.000Z,4540,0,0,1,Song Dehe ',No Pic Description,False,False,False,True
7,36000,2024-11-06T13:02:31.000Z,15000,0,0,1,"Grandma Chiayi ,Chiayi Food ,story ,interesting ,Taiwanese food ,Grandma fried Moho ,Grandma fried ,Grandma Jiewei ,Auspicious and fragrant Ah Po Lifi ,Chiayi scenic spot ,Chiayi Tourism ,Chiayi Tourism Recommendation ,Chiayi ,warmth ,move ,Chiayi ,Chiayi City ,Sawa 麼 '",No Pic Description,False,False,False,True
8,73000,2024-11-11T07:01:07.000Z,1025,0,0,1,no hashtage,No Pic Description,False,True,False,True
9,62000,2024-09-10T13:37:55.000Z,11,0,0,1,"explorepage ,Foreau ,reels ,instareels ,viralreels ,comedyreels ,funnyreels ,friendship ,jugiyar ,bff ,instagram ,trending ,explorepage ,instagood ,reelsvideo ,fypyes ,quoteshedyay ,beautiful ,new ,trending ,vairalvideo'",No Pic Description,False,False,False,True
0,1712000,2024-10-04T00:33:20.000Z,984000,1401,0,1,no hashtage,No Pic Description,False,True,False,True
1,102000,2024-10-14T00:18:05.000Z,4905,0,1,0,no hashtage,5 people and apron images.,False,True,False,False
